date,restaurant_id,restaurant_type,menu_item_name,meal_type,key_ingredients_tags,typical_ingredient_cost,observed_market_price,actual_selling_price,quantity_sold,has_promotion,special_event,weather_condition,revenue,profit_margin,price_to_cost_ratio,price_to_market_ratio,is_weekend,month
2024-01-01,11,Food Stall,Laksa,Lunch,"Rice Noodles, Fish Broth, Tamarind, Shrimp Paste, Cucumber, Mint",4.5,10.59,12.48,361,0,0,Sunny,4505.28,0.639423076923077,2.7733333333333334,1.1784702549575072,0,1
2024-01-01,7,Casual Dining,Spaghetti Carbonara,Dinner,"Spaghetti, Eggs, Cheese, Beef Bacon, Black Pepper",9.0,26.64,60.46,105,0,0,Sunny,6348.3,0.8511412504134965,6.717777777777778,2.2695195195195197,0,1
2024-01-01,23,Fine Dining,Beef Rendang,Dinner,"Beef, Coconut Milk, Galangal, Lemongrass, Spices, Chili",9.0,49.42,80.15,36,0,0,Rainy,2885.4,0.8877105427323768,8.905555555555557,1.6218130311614731,0,1
2024-01-01,22,Food Stall,Roti Canai,Dinner,"Flour, Ghee, Egg, Water, Curry",0.8,2.04,2.48,503,0,0,Sunny,1247.44,0.6774193548387096,3.0999999999999996,1.2156862745098038,0,1
2024-01-01,32,Fine Dining,Spaghetti Carbonara,Lunch,"Spaghetti, Eggs, Cheese, Beef Bacon, Black Pepper",9.0,40.3,55.54,262,0,0,Rainy,14551.48,0.8379546272956427,6.171111111111111,1.3781637717121589,0,1
2024-01-01,1,Food Stall,Cendol,Lunch,"Rice Flour Jelly, Coconut Milk, Palm Sugar, Red Beans",2.0,4.8,6.72,409,0,0,Sunny,2748.48,0.7023809523809523,3.36,1.4,0,1
2024-01-01,41,Cafe,Spaghetti Carbonara,Dinner,"Spaghetti, Eggs, Cheese, Beef Bacon, Black Pepper",9.0,31.79,49.14,76,0,0,Cloudy,3734.64,0.8168498168498168,5.46,1.5457691097829507,0,1
2024-01-01,29,Food Stall,Char Kway Teow,Dinner,"Flat Rice Noodles, Prawns, Cockles, Bean Sprouts, Chives, Soy Sauce",5.0,11.05,16.9,236,0,0,Cloudy,3988.3999999999996,0.7041420118343195,3.38,1.529411764705882,0,1
2024-01-01,2,Food Stall,Tandoori Chicken,Dinner,"Chicken, Yogurt, Tandoori Masala, Ginger, Garlic",7.0,17.58,27.2,176,0,0,Cloudy,4787.2,0.7426470588235294,3.8857142857142857,1.547212741751991,0,1
2024-01-01,3,Cafe,Spaghetti Carbonara,Lunch,"Spaghetti, Eggs, Cheese, Beef Bacon, Black Pepper",9.0,34.64,36.95,237,0,0,Rainy,8757.150000000001,0.7564276048714479,4.105555555555556,1.0666859122401848,0,1
2024-01-01,1,Food Stall,Kaya Toast Set,Breakfast,"White Bread, Kaya, Butter, Soft-Boiled Eggs",2.8,5.1,9.71,347,0,0,Rainy,3369.3700000000003,0.7116374871266736,3.4678571428571434,1.9039215686274513,0,1
2024-01-01,46,Casual Dining,Chicken Chop,Lunch,"Chicken Thigh, Black Pepper Sauce, Fries, Coleslaw",8.0,28.2,39.31,270,0,0,Cloudy,10613.7,0.7964894428898499,4.91375,1.3939716312056738,0,1
2024-01-01,17,Food Stall,Cendol,Dinner,"Rice Flour Jelly, Coconut Milk, Palm Sugar, Red Beans",2.0,5.39,5.36,278,0,0,Cloudy,1490.0800000000002,0.6268656716417911,2.68,0.9944341372912803,0,1
2024-01-01,2,Food Stall,Roti Canai,Dinner,"Flour, Ghee, Egg, Water, Curry",0.8,1.9,1.81,847,1,0,Sunny,1533.07,0.5580110497237569,2.2624999999999997,0.9526315789473685,0,1
2024-01-01,29,Food Stall,Chicken Rice,Dinner,"Chicken, Rice, Ginger, Garlic, Chili Sauce, Cucumber",4.0,9.19,12.15,344,0,0,Cloudy,4179.6,0.6707818930041153,3.0375,1.32208922742111,0,1
2024-01-01,30,Cafe,Teh Tarik,Dinner,"Black Tea, Condensed Milk, Evaporated Milk",0.9,3.23,3.54,412,0,0,Cloudy,1458.48,0.7457627118644068,3.933333333333333,1.0959752321981424,0,1
2024-01-01,3,Cafe,Iced Lemon Tea,Lunch,"Black Tea, Lemon, Sugar Syrup",1.2,4.89,5.14,714,0,0,Sunny,3669.9599999999996,0.7665369649805447,4.283333333333333,1.0511247443762781,0,1
2024-01-01,30,Cafe,Iced Lemon Tea,Breakfast,"Black Tea, Lemon, Sugar Syrup",1.2,4.67,3.45,649,1,0,Sunny,2239.05,0.6521739130434783,2.8750000000000004,0.7387580299785867,0,1
2024-01-01,40,Food Stall,Kaya Toast Set,Breakfast,"White Bread, Kaya, Butter, Soft-Boiled Eggs",2.8,5.44,8.18,625,0,0,Sunny,5112.5,0.6577017114914425,2.9214285714285717,1.503676470588235,0,1
2024-01-01,28,Fine Dining,Nasi Lemak,Breakfast,"Rice, Coconut Milk, Sambal, Anchovies, Egg, Peanuts",2.5,11.92,16.75,315,0,0,Sunny,5276.25,0.8507462686567164,6.7,1.4052013422818792,0,1
